"year","month","stockpile","procurement","unspecified","nato_purl"
2022,1,0.00149570612079685,0,0.230356053306305,0
2022,2,0.920551110476898,0.00264505946975374,0.0979237519395904,0
2022,3,1.69420359852987,0.0206730180313181,0.301219498877599,0
2022,4,2.98139771574896,0.478876059475669,1.98263818229204,0
2022,5,0.965130216496408,0,0.300389081582248,0
2022,6,3.70538986462379,1.21511024974561,0.177807997406623,0
2022,7,0.984095697916102,0.995889331708306,0.104449965790385,0
2022,8,2.67435145087186,3.14881140858991,0.52130692850668,0
2022,9,1.57435768263596,1.59401779854325,0.166791188015386,0
2022,10,2.47305932210036,0.102358737460052,0.104918332545222,0
2022,11,1.8997281507186,1.33681966180443,0.391510435731513,0
2022,12,1.47087874193084,1.16501279155448,0.455270825919423,0
2023,1,8.15754838194163,0.553327548882022,0.65207398860577,0
2023,2,1.53580125394585,3.93716923309574,0.372645282303178,0
2023,3,1.57032090509891,0.375301233430567,0.309898178873323,0
2023,4,1.18008004096476,2.45869379855606,0.153771015,0
2023,5,1.11236244583813,3.17203573273783,0.770083960805231,0
2023,6,0.843148654514644,2.87125114424555,0.136828149758034,0
2023,7,1.32251540579879,1.24407358730607,0.284066727923801,0
2023,8,2.4166698685854,0.289521514756533,0.165,0
2023,9,0.487153563915136,1.89937544339222,0.0840916006367891,0
2023,10,0.706063439695221,0.665722497573218,0.112638223667114,0
2023,11,0.255981023523663,0.335830762255633,0.104238809927139,0
2023,12,0.656603947759681,1.80853133976478,0.848184593188389,0
2024,1,0.0511970250637584,1.72374007825911,0.0688482908387624,0
2024,2,0.729327888281728,1.66072700137332,0.532749460316422,0
2024,3,0.358393593049383,1.06723979389136,0.6621,0
2024,4,1.84618262729077,6.5245308886312,0.990779375853917,0
2024,5,1.76513890391016,0.725565456826642,0.0665221041236099,0
2024,6,1.705767271396,0.364409027226587,0.45487936747832,0
2024,7,0.856120629982156,3.92990006383758,0.486168066506564,0
2024,8,0.237918338369079,0.13006729157541,0.0138603529975069,0
2024,9,1.21293209016101,3.06786551282183,0.154,0
2024,10,1.0554519330822,1.90249867586739,0.330228763042243,0
2024,11,0.667440676316039,0.563087350412652,0.195842200749889,0
2024,12,2.38889273866961,2.69979363090688,0.398021385595465,0
2025,1,0.971273166577251,1.67462666695324,0.14459575162312,0
2025,2,0.00354648547418967,0.769742144569672,0.115766062478413,0
2025,3,0.0455891815569617,4.645869384383,2.26380482936649,0
2025,4,0.0124929205766032,2.87171085809098,0.166018853782713,0
2025,5,0.323189832417803,4.92840268811034,0.965293408501402,0
2025,6,0.254374648791763,2.18299420606904,0.653807726334082,0
2025,7,0,1.11394625066973,0.210793273956689,0
2025,8,0.687791697371653,0.727742533071527,0.135413226088091,1.88323218983518
2025,9,0.0315234777677025,1.0506854376346,0,0.045
2025,10,0,0.606388627455652,2.25052326685169,0.379478758255211
2025,11,0,0.337631218955866,0.375835442194116,0.297348371500597
2025,12,0.0363852381543912,0.738251498392842,0.898079667222864,1.10730651865702
2026,1,0,0.135,0.0912296772201555,0
2026,2,0,0.87686569410825,2.51438691520024,0.382760398703614
2026,3,0.0129776666155425,0,0.31600915900443,0.017284
2026,4,0,4.141,0.985069493061915,0
2026,5,0.0125569680978652,0,0.130381221944283,0.259414187176601
2026,6,0.042542108004862,6.23472406574194,0.333207749168051,0.583453724604966
