"country","iso","year","month","total","financial","humanitarian","military","commitments","to_be_allocated","gdp","pct_gdp"
"Belgium","BEL",2022,7,0.011439,0,0.0008,0.010639,0.010639,-0.0008,502.311599999992,0.00227727171739617
"Belgium","BEL",2022,8,0.0111,0.0031,0,0.008,0.0111,0,502.311599999992,0.00220978372786935
"Belgium","BEL",2022,9,0.026761,0,0,0.026761,0.026761,0,502.311599999992,0.00532756958031637
"Belgium","BEL",2022,10,0.003236,0,0,0.003236,0.003236,0,502.311599999992,0.000644221634539209
"Belgium","BEL",2022,11,0.012245,0.00496,0,0.007285,0.012245,0,502.311599999992,0.0024377298871856
"Belgium","BEL",2022,12,0.001444,0,0,0.001444,0.001444,0,502.311599999992,0.000287470964238139
"Belgium","BEL",2023,1,0.09464,0,0.0006,0.09404,0.09404,-0.0006,502.311599999992,0.0188408947752753
"Belgium","BEL",2023,3,0.003448,0,0,0.003448,0.003448,0,502.311599999992,0.000686426512945362
"Belgium","BEL",2023,5,0.092,0.008,0.024,0.06,0.068,-0.024,502.311599999992,0.0183153245913496
"Belgium","BEL",2023,6,0.01931,0.0015,0.01631,0.0015,0.003,-0.01631,502.311599999992,0.00384422736803218
"Belgium","BEL",2023,7,0.000685,0,0,0.000685,0.000685,0,502.311599999992,0.000136369536359505
"Belgium","BEL",2023,10,0.001,0.001,0,0,0.001,0,502.311599999992,0.000199079615123365
"Belgium","BEL",2023,11,0.0025,0,0.0025,0,0,-0.0025,502.311599999992,0.000497699037808412
"Belgium","BEL",2023,12,0.033,0.01,0.002,0.021,1.781,1.748,502.311599999992,0.00656962729907104
"Belgium","BEL",2024,2,0.534,0,0,0.534,0,-0.534,502.311599999992,0.106308514475877
"Belgium","BEL",2024,3,0.537,0.01,0.015,0.512,0,-0.537,502.311599999992,0.106905753321247
"Belgium","BEL",2024,4,0.2133,0,0.009,0.2043,0,-0.2133,502.311599999992,0.0424636819058137
"Belgium","BEL",2024,5,0.018,0.01,0.008,0,0,-0.018,502.311599999992,0.00358343307222057
"Belgium","BEL",2024,7,0.05159,0,0.05159,0,0.11741,0.06582,502.311599999992,0.0102705173442144
"Belgium","BEL",2024,12,0.0002,0,0.0002,0,0.0002,0,502.311599999992,0.000039815923024673
"Belgium","BEL",2025,2,0.15,0,0.15,0,0.15,0,502.311599999992,0.0298619422685047
"Belgium","BEL",2025,4,0,0,0,0,1,1,502.311599999992,0
"Belgium","BEL",2025,5,0.703698,0,0,0.703698,0,-0.703698,502.311599999992,0.140091927003082
"Belgium","BEL",2025,6,0.156302,0,0,0.156302,0,-0.156302,502.311599999992,0.0311165420030122
"Belgium","BEL",2025,7,0.14,0,0,0.14,0,-0.14,502.311599999992,0.0278711461172711
"Belgium","BEL",2025,8,0.1,0,0,0.1,0.1,0,502.311599999992,0.0199079615123365
"Belgium","BEL",2025,12,0.17149,0,0.12849,0.043,0.17149,0,502.311599999992,0.0341401631975059
"Belgium","BEL",2026,2,0.00008,0,0.00008,0,0.00008,0,502.311599999992,0.0000159263692098692
"Belgium","BEL",2026,4,0.015256,0,0,0.015256,1,0.984744,502.311599999992,0.00303715860832206
"Bulgaria","BGR",2022,4,0.004218,0,0.000706,0.003512,0.004218,0,71.0691197535997,0.00593506717773348
"Bulgaria","BGR",2022,12,0.229941,0,0,0.229941,0.229941,0,71.0691197535997,0.323545586039643
"Bulgaria","BGR",2023,7,0.002783,0,0,0.002783,0.002783,0,71.0691197535997,0.0039159061061243
"Bulgaria","BGR",2023,8,0.000163,0,0.000163,0,0.000163,0,71.0691197535997,0.000229354184440625
"Bulgaria","BGR",2024,2,0.0001,0,0.0001,0,0.0001,0,71.0691197535997,0.000140708088613881
"Bulgaria","BGR",2024,4,0.00006,0.00006,0,0,0.00006,0,71.0691197535997,0.0000844248531683283
"Bulgaria","BGR",2024,6,0.000511,0,0.000511,0,0.000511,0,71.0691197535997,0.00071901833281693
"Bulgaria","BGR",2024,11,0.000475,0,0.000475,0,0.000475,0,71.0691197535997,0.000668363420915933
"Bulgaria","BGR",2026,1,0.000016,0,0.000016,0,0.000016,0,71.0691197535997,0.0000225132941782209
"Bulgaria","BGR",2026,3,0.017284,0,0,0.017284,0.017284,0,71.0691197535997,0.0243199860360231
"Canada","CAN",2022,1,0.265365,0,0.035009,0.230356,0.265365,0,1681.12671460999,0.0157849493255815
